File,for/loops,while/loops,do-while/loops,total
providers/libcrypto-lib-defltprov.c,0,1,1,2
crypto/objects/libcrypto-lib-obj_dat.c,1,0,6,7
crypto/lhash/libcrypto-lib-lh_stats.c,1,0,3,4
crypto/dh/libcrypto-lib-dh_key.c,0,0,1,1
test/helpers/quicapitest-bin-noisydgrambio.c,1,2,6,9
crypto/ec/libcrypto-shlib-ec_print.c,0,0,1,1
fuzz/client-test-bin-test-corpus.c,0,1,1,2
crypto/idea/libcrypto-lib-i_ofb64.c,0,0,1,1
crypto/asn1/libcrypto-shlib-i2d_evp.c,0,2,2,4
crypto/asn1/libcrypto-shlib-tasn_utl.c,0,0,1,1
crypto/bf/libcrypto-shlib-bf_cfb64.c,0,0,2,2
crypto/bio/libcrypto-lib-bss_sock.c,1,0,0,1
fuzz/asn1-test-bin-test-corpus.c,0,1,1,2
test/dhtest-bin-dhtest.c,0,0,1,1
fuzz/provider-test-bin-provider.c,0,11,3,14
test/pbelutest-bin-pbelutest.c,0,1,1,2
engines/ossltest-dso-e_ossltest.c,0,0,2,2
crypto/rc4/liblegacy-lib-rc4-md5-x86_64.c,0,0,1,1
crypto/cmp/libcrypto-lib-cmp_util.c,2,1,1,4
crypto/engine/libcrypto-shlib-tb_cipher.c,1,0,0,1
crypto/cast/libcrypto-shlib-c_skey.c,0,0,1,1
crypto/cmp/libcrypto-shlib-cmp_status.c,0,1,3,4
apps/openssl-bin-dhparam.c,0,1,0,1
crypto/asn1/libcrypto-lib-asn1_parse.c,0,12,30,42
crypto/asn1/libcrypto-lib-asn_moid.c,0,3,1,4
