bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
ctype_graph.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_graph.c,0,0,0,0,,,,,
ctype_alnum.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_alnum.c,0,0,0,0,,,,,
ctype_cntrl.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_cntrl.c,0,0,0,0,,,,,
ctype_lower.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_lower.c,0,0,0,0,,,,,
ctype_alpha.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_alpha.c,0,0,0,0,,,,,
ctype_xdigit.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_xdigit.c,0,0,0,0,,,,,
ctype_punct.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_punct.c,0,0,0,0,,,,,
ctype_digit.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_digit.c,0,0,0,0,,,,,
ftell.c,../samples/.cache/coreutils/coreutils-9.7/lib/ftell.c,0,0,0,0,,,,,
getcwd-lgpl.c,../samples/.cache/coreutils/coreutils-9.7/lib/getcwd-lgpl.c,0,0,1,0,,,,,
pthread-cond.c,../samples/.cache/coreutils/coreutils-9.7/lib/pthread-cond.c,2,0,0,2,,,,,
sm3-stream.c,../samples/.cache/coreutils/coreutils-9.7/lib/sm3-stream.c,0,2,0,2,,,,,
signbitd.c,../samples/.cache/coreutils/coreutils-9.7/lib/signbitd.c,0,0,0,0,,,,,
freopen-safer.c,../samples/.cache/coreutils/coreutils-9.7/lib/freopen-safer.c,0,0,0,0,,,,,
strsignal.c,../samples/.cache/coreutils/coreutils-9.7/lib/strsignal.c,0,0,0,0,,,,,
unlinkdir.c,../samples/.cache/coreutils/coreutils-9.7/lib/unlinkdir.c,0,0,0,0,,,,,
anytostr.c,../samples/.cache/coreutils/coreutils-9.7/lib/anytostr.c,0,0,2,0,,,,,
xstrtol-error.c,../samples/.cache/coreutils/coreutils-9.7/lib/xstrtol-error.c,0,0,0,0,,,,,
strintcmp.c,../samples/.cache/coreutils/coreutils-9.7/gl/lib/strintcmp.c,0,0,0,0,,,,,
dup.c,../samples/.cache/coreutils/coreutils-9.7/lib/dup.c,0,0,0,0,,,,,
pthread_sigmask.c,../samples/.cache/coreutils/coreutils-9.7/lib/pthread_sigmask.c,0,0,0,0,,,,,
at-func.c,../samples/.cache/coreutils/coreutils-9.7/lib/at-func.c,0,0,0,0,,,,,
lchown.c,../samples/.cache/coreutils/coreutils-9.7/lib/lchown.c,0,0,0,0,,,,,
sys_socket.c,../samples/.cache/coreutils/coreutils-9.7/lib/sys_socket.c,0,0,0,0,,,,,
argv-iter.c,../samples/.cache/coreutils/coreutils-9.7/lib/argv-iter.c,0,0,0,0,,,,,
basename-lgpl.c,../samples/.cache/coreutils/coreutils-9.7/lib/basename-lgpl.c,2,1,0,3,,,,,
c-strncasecmp.c,../samples/.cache/coreutils/coreutils-9.7/lib/c-strncasecmp.c,0,0,1,0,,,,,
getugroups.c,../samples/.cache/coreutils/coreutils-9.7/lib/getugroups.c,2,1,0,3,,,,,
