file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
crypto/x509/x_crl.c,crypto/x509/x_crl.c,openssl,crypto/x509/x_crl.c,5,0,0,5,crypto/x509/x_crl.c,crypto/x509/x_crl.c,2,1,2,3,crypto/x509/x_crl.c,3,1,2,6
crypto/x509/x509cset.c,crypto/x509/x509cset.c,openssl,crypto/x509/x509cset.c,1,0,0,1,crypto/x509/x509cset.c,crypto/x509/x509cset.c,0,1,0,1,crypto/x509/x509cset.c,3,1,0,4
crypto/x509/x_all.c,crypto/x509/x_all.c,openssl,crypto/x509/x_all.c,0,0,0,0,crypto/x509/x_all.c,crypto/x509/x_all.c,0,0,0,0,crypto/x509/x_all.c,2,0,0,2
crypto/x509/pcy_cache.c,crypto/x509/pcy_cache.c,openssl,crypto/x509/pcy_cache.c,1,0,0,1,crypto/x509/pcy_cache.c,crypto/x509/pcy_cache.c,0,0,1,0,crypto/x509/pcy_cache.c,1,0,1,2
crypto/ui/ui_lib.c,crypto/ui/ui_lib.c,openssl,crypto/ui/ui_lib.c,4,0,0,4,crypto/ui/ui_lib.c,crypto/ui/ui_lib.c,1,4,0,5,crypto/ui/ui_lib.c,15,4,0,19
crypto/md5/md5_dgst.c,crypto/md5/md5_dgst.c,openssl,crypto/md5/md5_dgst.c,1,0,0,1,crypto/md5/md5_dgst.c,crypto/md5/md5_dgst.c,0,0,3,0,crypto/md5/md5_dgst.c,3,0,3,6
crypto/sm3/sm3.c,crypto/sm3/sm3.c,openssl,crypto/sm3/sm3.c,1,0,0,1,crypto/sm3/sm3.c,crypto/sm3/sm3.c,0,0,4,0,crypto/sm3/sm3.c,2,0,4,6
crypto/store/store_result.c,crypto/store/store_result.c,openssl,crypto/store/store_result.c,0,2,0,2,crypto/store/store_result.c,crypto/store/store_result.c,0,1,1,1,crypto/store/store_result.c,1,1,1,3
crypto/err/err_prn.c,crypto/err/err_prn.c,openssl,crypto/err/err_prn.c,0,2,1,2,crypto/err/err_prn.c,crypto/err/err_prn.c,1,0,3,1,crypto/err/err_prn.c,2,0,3,5
crypto/err/err.c,crypto/err/err.c,openssl,crypto/err/err.c,5,2,0,7,crypto/err/err.c,crypto/err/err.c,2,2,21,4,crypto/err/err.c,66,2,21,89
crypto/err/err_save.c,crypto/err/err_save.c,openssl,crypto/err/err_save.c,6,0,0,6,crypto/err/err_save.c,crypto/err/err_save.c,2,0,6,2,crypto/err/err_save.c,3,0,6,9
crypto/rand/rand_lib.c,crypto/rand/rand_lib.c,openssl,crypto/rand/rand_lib.c,1,0,0,1,crypto/rand/rand_lib.c,crypto/rand/rand_lib.c,0,0,1,0,crypto/rand/rand_lib.c,1,0,1,2
